Giocatore,Squadra,Altezza (m),Eta'
Shai Gilgeous-Alexander,Oklahoma City Thunder,1.98,27
Lebron James,Los Angeles Lakers,2.06,40
Kevin Durant,Phoenix Suns,2.08,36
Stephen Curry,Golden State Warriors,1.91,37
Klay Thompson,Dallas Maverics,1.98,35
Nikola Jokic,Denver Nuggets,2.11,30
Luka Doncic,Dallas Maverics,2.01,26
Joel Embiid,Philadelphia 76ers,2.13,31
Jayson Tatum,Boston Celtics,2.03,27
Ja Morant,Minnesota Timberwolves,1.91,26
Anthony Edwards,Minnesota Timberwolves,1.96,24
Karl-Anthony Towns,Los Angeles Lakers,2.11,29
Damian Lillard,Phoenix Suns,1.88,35
Trae Young,Atlanta Hawks,1.85,26
Jimmy Butler,Miami Heat,1.96,36
Bam Adebayo,Miami Heat,2.06,28
Devin Booker,Phoenix Suns,1.96,28
Bradley Beal,Philadelphia 76ers,1.96,32
Zion Williamson,New Orleans Pelicans,1.98,25
Jrue Holiday,Boston Celtics,1.93,35
Chris Paul,Golden State Warriors,1.83,40
Donovan Mitchell,Cleveland Cavaliers,1.91,29
